NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.40019488	1.3660538	0.14257029	1.0	0.761	1099	tags=27%, list=12%, signal=31%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	74	0.30968952	1.1742978	0.15459883	1.0	0.992	1223	tags=24%, list=13%, signal=28%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	107	0.26285738	1.1726611	0.07920792	1.0	0.992	1386	tags=22%, list=15%, signal=26%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	104	0.27369678	1.1301383	0.152	1.0	0.992	1733	tags=26%, list=19%, signal=32%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	151	0.23193179	1.1244229	0.18019801	0.9672136	0.992	1978	tags=29%, list=21%, signal=36%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	119	0.25525782	1.1216497	0.23952095	0.82320076	0.992	2530	tags=33%, list=27%, signal=45%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	49	0.29289472	1.1119858	0.18489066	0.7372974	1.0	2040	tags=35%, list=22%, signal=44%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	50	0.29138637	1.0375168	0.34068137	0.92629343	1.0	1528	tags=26%, list=16%, signal=31%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	51	0.3104692	1.0090284	0.48697394	0.93099374	1.0	1919	tags=33%, list=21%, signal=42%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	0.26108697	0.98983055	0.45256916	0.8934554	1.0	925	tags=15%, list=10%, signal=17%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.30547872	0.9828601	0.44308943	0.8322047	1.0	1819	tags=30%, list=20%, signal=36%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	97	0.23720424	0.95254564	0.5144033	0.8510684	1.0	2534	tags=34%, list=27%, signal=46%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	0.19424549	0.87984645	0.6895874	0.98610884	1.0	1515	tags=21%, list=16%, signal=25%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	111	0.20353112	0.8663121	0.8098039	0.9487878	1.0	1834	tags=23%, list=20%, signal=28%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	155	0.16275886	0.8344509	0.94071144	0.963575	1.0	2075	tags=21%, list=22%, signal=27%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	139	0.22330023	0.7977864	0.8577236	0.97166103	1.0	1823	tags=22%, list=20%, signal=27%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	20	0.24938768	0.6852592	0.87265134	1.0	1.0	1989	tags=35%, list=21%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	69	0.17425208	0.68349373	0.93653846	0.9953203	1.0	1785	tags=22%, list=19%, signal=27%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	17	0.19507751	0.5091764	0.8924303	0.9967988	1.0	3161	tags=47%, list=34%, signal=71%	
